food_id,food_name,brand,categories,countries,collection_location,source,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,nutriscore,nova_group,serving_size,quantity,salt_g
167628,"Cornmeal, blue (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,10.4,76.93,5.44,8.7,1.81,7.0,1.679,,,,,
167629,"Melon, banana (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.84,4.06,0.2,0.3,3.36,11.0,,,,,,
167630,Chilchen (Red Berry Beverage) (Navajo),,,,USDA reference,USDA FoodData Central SR Legacy,,0.81,8.68,0.63,,2.6,15.0,0.135,,,,,
167631,"Corn, dried (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,9.88,74.93,5.22,,5.38,13.0,1.483,,,,,
167632,"Squash, Indian, cooked, boiled (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.31,3.22,0.15,1.5,2.02,,,,,,,
167633,"Bread, kneel down (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,4.29,39.47,2.21,,3.74,126.0,0.603,,,,,
167634,"Mutton, cooked, roasted (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,33.43,0.08,11.09,,,135.0,4.459,,,,,
167635,"Frybread, made with lard (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,6.69,48.26,12.22,,2.03,329.0,4.411,,,,,
167636,Tamales (Navajo),,,,USDA reference,USDA FoodData Central SR Legacy,,6.28,18.12,6.12,3.1,0.99,427.0,2.739,,,,,
167637,"Stew, steamed corn (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,8.82,10.8,3.75,2.3,0.51,104.0,1.497,,,,,
167638,"Fish, halibut, raw, with skin (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,20.53,1.81,2.92,0.0,0.0,79.0,1.195,,,,,
167639,"Fish, salmon, coho (silver), raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,22.56,0.0,5.57,0.0,0.0,58.0,1.79,,,,,
167640,"Blueberries, wild, raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,1.22,12.31,0.76,2.6,6.46,6.0,,,,,,
167641,"Oil, spotted seal (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.0,0.0,99.32,0.0,0.0,0.0,54.52,,,,,
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,27.31,0.0,5.76,0.0,0.0,390.0,2.29,,,,,
167643,"Fish, whitefish, eggs (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,14.66,4.89,2.88,0.0,0.0,160.0,1.046,,,,,
167644,"Caribou, rump meat, half dried (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,52.06,0.0,5.23,0.0,0.0,390.0,1.19,,,,,
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,35.19,0.0,7.26,0.0,0.0,600.0,2.29,,,,,
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,24.5,0.0,4.75,0.0,0.0,460.0,1.83,,,,,
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,23.19,0.0,12.95,0.0,0.0,870.0,5.86,,,,,
167648,"Fish, sheefish, raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,22.25,0.0,2.84,0.0,0.0,52.0,1.08,,,,,
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",,,,USDA reference,USDA FoodData Central SR Legacy,,21.44,0.0,1.3,,,43.0,0.425,,,,,
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,62.38,0.0,2.31,,0.0,130.0,,,,,,
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",,,,USDA reference,USDA FoodData Central SR Legacy,,32.51,0.0,1.8,,,41.0,0.614,,,,,
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",,,,USDA reference,USDA FoodData Central SR Legacy,,19.74,0.0,2.1,0.0,0.0,43.0,0.897,,,,,
167653,"Corn, dried, yellow (Northern Plains Indians)",,,,USDA reference,USDA FoodData Central SR Legacy,,14.48,66.27,10.64,20.5,21.32,4.0,3.75,,,,,
167654,"Smelt, dried (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,56.19,0.0,17.9,0.0,0.0,420.0,6.86,,,,,
167655,"Frybread, made with lard (Apache)",,,,USDA reference,USDA FoodData Central SR Legacy,,8.38,46.01,10.14,1.7,1.54,671.0,3.5,,,,,
167656,Corned beef and potatoes in tortilla (Apache),,,,USDA reference,USDA FoodData Central SR Legacy,,7.91,29.35,8.31,1.5,1.79,511.0,3.345,,,,,
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",,,,USDA reference,USDA FoodData Central SR Legacy,,13.19,19.28,11.05,1.8,1.84,646.0,4.464,,,,,
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",,,,USDA reference,USDA FoodData Central SR Legacy,,12.56,17.92,10.81,1.5,2.39,509.0,4.229,,,,,
167659,"Restaurant, Latino, chicken and rice, entree, prepared",,,,USDA reference,USDA FoodData Central SR Legacy,,12.02,20.03,5.06,1.2,0.55,518.0,1.799,,,,,
167660,"Restaurant, Latino, empanadas, beef, prepared",,,,USDA reference,USDA FoodData Central SR Legacy,,11.31,31.19,18.37,2.0,1.84,440.0,7.121,,,,,
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",,,,USDA reference,USDA FoodData Central SR Legacy,,5.59,31.49,9.01,5.8,1.3,305.0,2.986,,,,,
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",,,,USDA reference,USDA FoodData Central SR Legacy,,11.72,22.39,13.25,2.9,1.2,400.0,3.411,,,,,
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",,,,USDA reference,USDA FoodData Central SR Legacy,,11.51,23.02,10.43,2.6,1.45,426.0,3.964,,,,,
167664,"Restaurant, Latino, tamale, corn",,,,USDA reference,USDA FoodData Central SR Legacy,,3.48,26.68,7.21,3.2,7.42,277.0,2.437,,,,,
167665,"Restaurant, Mexican, spanish rice",,,,USDA reference,USDA FoodData Central SR Legacy,,3.28,31.16,5.29,1.2,1.3,528.0,1.511,,,,,
167666,"Restaurant, Mexican, refried beans",,,,USDA reference,USDA FoodData Central SR Legacy,,6.91,16.79,6.77,8.0,0.78,376.0,1.834,,,,,
167667,"Restaurant, Chinese, egg rolls, assorted",,,,USDA reference,USDA FoodData Central SR Legacy,,8.28,27.29,11.94,2.6,,468.0,3.036,,,,,
167668,"Restaurant, Chinese, fried rice, without meat",,,,USDA reference,USDA FoodData Central SR Legacy,,4.05,32.79,2.96,1.1,0.56,387.0,0.649,,,,,
167669,"CRACKER BARREL, steak fries",,,,USDA reference,USDA FoodData Central SR Legacy,,3.26,30.87,13.18,3.5,0.86,43.0,3.156,,,,,
167670,"CRACKER BARREL, grilled sirloin steak",,,,USDA reference,USDA FoodData Central SR Legacy,,31.52,0.0,8.52,,,180.0,3.405,,,,,
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",,,,USDA reference,USDA FoodData Central SR Legacy,,6.46,15.58,11.51,0.7,2.83,374.0,2.824,,,,,
167672,"DENNY'S, french fries",,,,USDA reference,USDA FoodData Central SR Legacy,,3.41,35.2,14.13,3.5,0.85,44.0,3.408,,,,,
