food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source
5010044000404,Wholemeal No Added Sugar,Warburtons,"Sliced breads, Wholemeal breads","France, Spain, United Kingdom",UK,257.142857142857,10.5042016806723,37.8151260504202,2.52100840336134,6.30252100840336,2.52100840336134,1.57142857142857,0.420168067226891,0.945378151260504,a,4.0,1 portion (23.8 g),,Open Food Facts
5000129341041,Hand finished seeded sourdough bread,Coop,"Breads, Multi-seed-sour-dough-loaf, Seeded bread",United Kingdom,UK,251.0,8.8,43.0,3.9,5.1,3.0,0.303,0.5,0.7575,b,3.0,1 serving (63 g),500 g,Open Food Facts
5060317350033,HECK 97% 6 SAUSAGES,HECK,"Meats, Pork sausages","France, United Kingdom",UK,245.945945945946,21.6216216216216,0.0,18.018018018018,,0.0,0.576576576576577,6.21621621621622,1.44144144144144,d,3.0,2 Sausages (111 g),400 g,Open Food Facts
5060055251548,6 Pork Sausages,Finnebrogue Naked,"Meats, Pork sausages",United Kingdom,UK,227.0,15.6,0.2,18.0,1.5,0.2,0.524,6.4,1.31,d,4.0,1 serving (uncooked (100 g),6 sausages 400g,Open Food Facts
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",,,,USDA reference,,5.88,41.18,13.24,1.2,5.88,1059.0,,,,,,,USDA FoodData Central SR Legacy
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",,,,USDA reference,,4.34,53.42,11.27,1.4,21.34,780.0,,,,,,,USDA FoodData Central SR Legacy
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",,,,USDA reference,,6.1,79.8,3.7,,,2182.0,,,,,,,USDA FoodData Central SR Legacy
167515,"George Weston Bakeries, Thomas English Muffins",,,,USDA reference,,8.0,46.0,1.8,,,345.0,0.303,,,,,,USDA FoodData Central SR Legacy
167516,"Waffles, buttermilk, frozen, ready-to-heat",,,,USDA reference,,6.58,41.05,9.22,2.2,4.3,621.0,4.53,,,,,,USDA FoodData Central SR Legacy
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",,,,USDA reference,,7.42,48.39,9.49,2.6,4.41,710.0,5.292,,,,,,USDA FoodData Central SR Legacy
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",,,,USDA reference,,6.92,44.16,9.4,2.4,4.5,663.0,4.864,,,,,,USDA FoodData Central SR Legacy
167519,"Waffle, plain, frozen, ready-to-heat, microwave",,,,USDA reference,,6.71,45.41,9.91,2.4,5.04,682.0,5.195,,,,,,USDA FoodData Central SR Legacy
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",,,,USDA reference,,5.1,64.3,24.83,1.9,18.13,471.0,16.928,,,,,,USDA FoodData Central SR Legacy
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",,,,USDA reference,,6.08,64.48,22.42,2.7,26.31,503.0,14.482,,,,,,USDA FoodData Central SR Legacy
167522,"Pie, Dutch Apple, Commercially Prepared",,,,USDA reference,,2.17,44.54,11.5,1.6,22.02,200.0,5.797,,,,,,USDA FoodData Central SR Legacy
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",,,,USDA reference,,5.52,46.79,28.74,1.4,,353.0,14.489,,,,,,USDA FoodData Central SR Legacy
